id	course_name	course_language	course_short_name	categories	universities	categories_name	universities_name
201	Shaping the Way We Teach English, 2: Paths to Success in ELT	en	shaping2paths	[14, 26]	[185]	 Education + Teacher Professional Development	
202	Cloud Computing Applications	en	cloudapplications	[4, 11, 12]	[17]	 Information, Tech & Design + Computer Science: Systems & Security + Computer Science: Software Engineering	 University of Illinois at Urbana-Champaign
203	Scientific Computing	en	scientificcomp	[5, 16]	[15]	 Mathematics + Statistics and Data Analysis	 University of Washington
204	紅樓夢(The Red Chamber Dream)	zh-tw	rcd	[6]	[75]	 Humanities 	 National Taiwan University
205	Photography: A Victorian Sensation	en	vicphoto	[6, 14, 18, 22]	[14]	 Humanities  + Education + Music, Film, and Audio + Arts	 The University of Edinburgh
206	史記（一）（Shi-ji (1) ）	zh-tw	shiji	[6]	[75]	 Humanities 	 National Taiwan University
207	Introduction to Recommender Systems	en	recsys	[4, 13, 17]	[50]	 Information, Tech & Design + Business & Management + Computer Science: Artificial Intelligence	 University of Minnesota
208	刑法学总论 Criminal Law	zh-cn	criminallaw	[21]	[163]	 Law	 Peking University
209	Model Thinking 模型思维（中文版）	zh-cn	modelthinkingzh	[2, 6, 20]	[3]	 Economics & Finance + Humanities  + Social Sciences	 University of Michigan
210	Bajemos la temperatura - Por qué se debe evitar un planeta 4°C más cálido	es	bajemostemperatura	[9, 25]	[73]	 Physical & Earth Sciences + Energy & Earth Sciences	 The World Bank Group
211	Water: The Essential Resource	en	waterandenvironment	[14, 26]	[154]	 Education + Teacher Professional Development	 National Geographic Society
212	Turn Down the Heat: Why a 4°C Warmer World Must be Avoided	en	warmerworld	[9, 25]	[73]	 Physical & Earth Sciences + Energy & Earth Sciences	 The World Bank Group
213	Теория отраслевых рынков (Industrial Organization)	ru	industorg	[2]	[160]	 Economics & Finance	 Higher School of Economics
214	Listening to World Music	en	worldmusic	[6, 18, 20]	[6]	 Humanities  + Music, Film, and Audio + Social Sciences	 University of Pennsylvania
215	Social Network Analysis	en	sna	[4, 17]	[3]	 Information, Tech & Design + Computer Science: Artificial Intelligence	 University of Michigan
216	Science, Technology, and Society in China II: History of S&T in Chinese Society	en	stschina2	[20]	[35]	 Social Sciences	 The Hong Kong University of Science and Technology
217	Origens da Vida no Contexto Cósmico	pt-br	origensdavida	[9, 23]	[221]	 Physical & Earth Sciences + Physics	 Universidade de São Paulo
218	Planning & Design of Sanitation Systems and Technologies 	en	sanitation	[8, 20]	[16]	 Health & Society + Social Sciences	 École Polytechnique Fédérale de Lausanne
219	General Game Playing	en	ggp	[1, 5, 17]	[1]	 Computer Science: Theory + Mathematics + Computer Science: Artificial Intelligence	 Stanford University
220	Aboriginal Worldviews and Education	en	aboriginaled	[6, 14]	[11]	 Humanities  + Education	 University of Toronto
221	Generation Rx: The Science Behind Prescription Drug Abuse	en	genrx	[3, 8]	[28]	 Medicine + Health & Society	 The Ohio State University
222	Information Theory	en	informationtheory	[4]	[45]	 Information, Tech & Design	 The Chinese University of Hong Kong
223	Case-Based Introduction to Biostatistics	en	casebasedbiostat	[8, 16]	[8]	 Health & Society + Statistics and Data Analysis	 Johns Hopkins University
224	Planet Earth...and You!	en	earth	[9, 25]	[17]	 Physical & Earth Sciences + Energy & Earth Sciences	 University of Illinois at Urbana-Champaign
225	Analysis of a Complex Kind	en	complexanalysis	[5]	[34]	 Mathematics	 Wesleyan University
226	Human-Computer Interaction Design	en	hcidesign	[4, 12]	[53]	 Information, Tech & Design + Computer Science: Software Engineering	 University of California, San Diego
227	Health Policy and the Affordable Care Act	en	healthpolicy	[2, 8]	[6]	 Economics & Finance + Health & Society	 University of Pennsylvania
228	离散数学概论 Discrete Mathematics Generality	zh-cn	dmathgen	[1, 5]	[163]	 Computer Science: Theory + Mathematics	 Peking University
229	Exploring Neural Data	en	neuraldata	[10, 16]	[22]	 Biology & Life Sciences + Statistics and Data Analysis	 Brown University
230	Early Renaissance Architecture in Italy: from Alberti to Bramante	en	renaissancearchitect	[6, 22]	[74]	 Humanities  + Arts	 Sapienza University of Rome
231	Leading Strategic Innovation in Organizations	en	innovation	[13]	[37]	 Business & Management	 Vanderbilt University
232	Principles of Computing (Part 1)	en	principlescomputing1	[1, 12]	[13]	 Computer Science: Theory + Computer Science: Software Engineering	 Rice University
233	Diabetes: Diagnosis, Treatment, and Opportunities	en	ucsfdiabetes	[3, 8]	[10]	 Medicine + Health & Society	 University of California, San Francisco
234	The Diversity of Exoplanets	en	extrasolarplanets	[23]	[49]	 Physics	 University of Geneva
235	Probability	en	probability	[2, 5, 15, 16, 20]	[6]	 Economics & Finance + Mathematics + Engineering + Statistics and Data Analysis + Social Sciences	 University of Pennsylvania
236	Clinical Problem Solving	en	clinprobsolv	[3]	[10]	 Medicine	 University of California, San Francisco
237	Cities are back in town : urban sociology for a globalizing urban world 	en	cities	[6, 20]	[210]	 Humanities  + Social Sciences	 Sciences Po
238	Sprachtechnologie in den Digital Humanities	de	langtechindh	[6, 16, 17]	[93]	 Humanities  + Statistics and Data Analysis + Computer Science: Artificial Intelligence	 University of Zurich
239	An Exploration of Symmetry (Eligible for NTU Credit)	en	ntusym	[9, 10, 22, 24]	[121]	 Physical & Earth Sciences + Biology & Life Sciences + Arts + Chemistry	 Nanyang Technological University, Singapore
240	University of Illinois iMBA Program	en	imba	[13]	[17]	 Business & Management	 University of Illinois at Urbana-Champaign
241	Introducción a las Finanzas Corporativas	es	whartonfinancees	[13]	[6]	 Business & Management	 University of Pennsylvania
242	Computational Neuroscience	en	compneuro	[3, 5, 10, 15, 16, 17]	[15]	 Medicine + Mathematics + Biology & Life Sciences + Engineering + Statistics and Data Analysis + Computer Science: Artificial Intelligence	 University of Washington
243	Statistics: Making Sense of Data	en	introstats	[16]	[11]	 Statistics and Data Analysis	 University of Toronto
244	Sustainable Food Production Through Livestock Health Management	en	sustainablefood	[2, 3, 8, 10, 13, 19]	[17]	 Economics & Finance + Medicine + Health & Society + Biology & Life Sciences + Business & Management + Food and Nutrition	 University of Illinois at Urbana-Champaign
245	Liderazgo en gestión educativa estratégica a través del uso de la tecnología	es	lidergestionedu	[26]	[62]	 Teacher Professional Development	 Tecnológico de Monterrey
246	Claves para Gestionar Personas	es	gestionpersonas	[13, 20]	[172]	 Business & Management + Social Sciences	 IESE Business School
247	La visione del mondo della Relatività e della Meccanica Quantistica	it	rqm	[6, 23]	[74]	 Humanities  + Physics	 Sapienza University of Rome
248	Finding Mutations in DNA and Proteins (Bioinformatics VI)	en	mutations	[1, 4, 5, 10, 12]	[53]	 Computer Science: Theory + Information, Tech & Design + Mathematics + Biology & Life Sciences + Computer Science: Software Engineering	 University of California, San Diego
249	The Brain and Space	en	brainspace	[10, 26]	[7]	 Biology & Life Sciences + Teacher Professional Development	 Duke University
250	Configuring the World: A Critical Political Economy Approach	en	configuringworld	[2, 6, 20]	[25, 49]	 Economics & Finance + Humanities  + Social Sciences	 Universiteit Leiden + University of Geneva
251	Pattern-Oriented Software Architectures for Concurrent and Networked Software	en	posasoftware	[]	[37]		 Vanderbilt University
252	数据结构与算法  Data Structures and Algorithms	zh-cn	dsalgo	[1]	[163]	 Computer Science: Theory	 Peking University
253	Virology I: How Viruses Work	en	virology	[3, 10]	[40]	 Medicine + Biology & Life Sciences	 Columbia University
254	東亞儒學─孟子：1 (East Asian Confucianisms: Mencius 1)	zh-tw	mencius1	[6]	[75]	 Humanities 	 National Taiwan University
255	Cluster Analysis in Data Mining	en	clusteranalysis	[4, 12, 16]	[17]	 Information, Tech & Design + Computer Science: Software Engineering + Statistics and Data Analysis	 University of Illinois at Urbana-Champaign
256	Mental Health: A Global Priority	en	mhglobal	[3, 8]	[14]	 Medicine + Health & Society	 The University of Edinburgh
257	Introduction to Systems Engineering	en	introse	[4, 13, 15]	[155]	 Information, Tech & Design + Business & Management + Engineering	 UNSW Australia (The University of New South Wales)
258	Designing Technology for Learning	en	designtech4learning	[4, 15]	[9]	 Information, Tech & Design + Engineering	 Georgia Institute of Technology
259	Web Application Architectures	en	webapplications	[4, 12, 15]	[120]	 Information, Tech & Design + Computer Science: Software Engineering + Engineering	 University of New Mexico
260	Pathways to climate change adaptation: the case of Small Island Developing States	en	sids	[8, 9, 14, 20, 25]	[49]	 Health & Society + Physical & Earth Sciences + Education + Social Sciences + Energy & Earth Sciences	 University of Geneva
261	Les problèmes métaphysiques à l’épreuve de la politique, 1943-1968	fr	philofrancaise	[6]	[130]	 Humanities 	 École normale supérieure
262	软件包在流行病学研究中的应用 Using software apps in epidemiological research	zh-cn	epiapps	[16]	[163]	 Statistics and Data Analysis	 Peking University
263	Chinese Politics Part 2 – China and the World	en	chinesepolitics2	[6, 20]	[35]	 Humanities  + Social Sciences	 The Hong Kong University of Science and Technology
264	Cryptography I	en	crypto	[1, 11]	[1]	 Computer Science: Theory + Computer Science: Systems & Security	 Stanford University
265	The American Disease: Drugs and Drug Control in the USA	en	americandisease	[3, 8]	[31]	 Medicine + Health & Society	 University of Florida
266	Practical Ethics	en	practicalethics	[6]	[4]	 Humanities 	 Princeton University
267	Passion Driven Statistics	en	pdstatistics	[16]	[34]	 Statistics and Data Analysis	 Wesleyan University
268	Gestion des aires protégées en Afrique	fr	apafrique	[6, 10]	[16]	 Humanities  + Biology & Life Sciences	 École Polytechnique Fédérale de Lausanne
269	Bioelectricity: A Quantitative Approach	en	bioelectricity	[10, 23, 26]	[7]	 Biology & Life Sciences + Physics + Teacher Professional Development	 Duke University
270	Genome Sequencing (Bioinformatics II)	en	assembly	[1, 5, 10, 12]	[53]	 Computer Science: Theory + Mathematics + Biology & Life Sciences + Computer Science: Software Engineering	 University of California, San Diego
271	Understanding and Improving the US Healthcare System	en	ushealthcare	[3, 8]	[3]	 Medicine + Health & Society	 University of Michigan
272	Introduction to Quantum Optics	en	qoptintro	[9, 23]	[64]	 Physical & Earth Sciences + Physics	 Ludwig-Maximilians-Universität München (LMU)
273	Democratic Development	en	democraticdev	[6, 20]	[1]	 Humanities  + Social Sciences	 Stanford University
274	Introduction to Psychology	en	intropsych	[20]	[11]	 Social Sciences	 University of Toronto
275	Process Mining: Data science in Action	en	procmin	[4, 13, 16, 17]	[177]	 Information, Tech & Design + Business & Management + Statistics and Data Analysis + Computer Science: Artificial Intelligence	 Eindhoven University of Technology
276	Understanding Terrorism and the Terrorist Threat	en	understandingterror	[20]	[32]	 Social Sciences	 University of Maryland, College Park
277	Understanding Violence	en	violence	[6, 8, 20]	[23]	 Humanities  + Health & Society + Social Sciences	 Emory University
278	Content Strategy for Professionals 1: Engaging Audiences for Your Organization	en	contentstrategy	[4, 13]	[54]	 Information, Tech & Design + Business & Management	 Northwestern University
279	The Olympic Games and the Media	en	olympicgames	[4, 6, 13, 20]	[80]	 Information, Tech & Design + Humanities  + Business & Management + Social Sciences	 Universitat Autònoma de Barcelona
280	Introduction to Mathematical Thinking	en	maththink	[5]	[1]	 Mathematics	 Stanford University
281	Natural Language Processing	en	nlangp	[17]	[40]	 Computer Science: Artificial Intelligence	 Columbia University
282	Exploring Light	en	explorelight	[9, 10, 14, 23, 24, 26]	[108]	 Physical & Earth Sciences + Biology & Life Sciences + Education + Physics + Chemistry + Teacher Professional Development	 Exploratorium
283	Global Adolescent Health	en	adolescenthealth	[3, 8, 14]	[33]	 Medicine + Health & Society + Education	 The University of Melbourne
284	Neural Networks for Machine Learning	en	neuralnets	[16, 17]	[11]	 Statistics and Data Analysis + Computer Science: Artificial Intelligence	 University of Toronto
285	Linear Circuits	en	circuits	[15]	[9]	 Engineering	 Georgia Institute of Technology
286	The Bible's Prehistory, Purpose, and Political Future	en	biblefuture	[6, 20]	[23]	 Humanities  + Social Sciences	 Emory University
287	First-Year Composition 2.0	en	gtcomp	[6]	[9]	 Humanities 	 Georgia Institute of Technology
288	America Through Foreign Eyes	en	foreigneyes	[6, 20]	[13]	 Humanities  + Social Sciences	 Rice University
289	Global Health and Humanitarianism	en	health	[]	[147]		 University of Manchester
290	Latin American Culture	en	latinamericanculture	[6, 20]	[62]	 Humanities  + Social Sciences	 Tecnológico de Monterrey
291	Foundations of Teaching for Learning 6: Introduction to Student Assessment	en	teach6	[14, 26]	[106]	 Education + Teacher Professional Development	 Commonwealth Education Trust
292	Rédaction de contrats	fr	contrats	[21]	[49]	 Law	 University of Geneva
293	Guinea Pigs, Heroes & Desperate Patients: The History & Ethics of Human Research	en	humanresearch	[3, 6, 8, 10, 20]	[8]	 Medicine + Humanities  + Health & Society + Biology & Life Sciences + Social Sciences	 Johns Hopkins University
294	The Brain-Targeted Teaching® Model for 21st Century Schools	en	braintargeted	[14, 26]	[8]	 Education + Teacher Professional Development	 Johns Hopkins University
295	Comic Books and Graphic Novels	en	comics	[6, 22]	[71, 126]	 Humanities  + Arts	 University of Colorado Boulder + University of Colorado System
296	Applied Regression Analysis	en	appliedregression	[2, 3, 4, 5, 8, 16]	[28]	 Economics & Finance + Medicine + Information, Tech & Design + Mathematics + Health & Society + Statistics and Data Analysis	 The Ohio State University
297	e-Learning Ecologies	en	elearning	[4, 14, 26]	[17]	 Information, Tech & Design + Education + Teacher Professional Development	 University of Illinois at Urbana-Champaign
298	Introducción a la Gestión de Operaciones	es	whartonoperationses	[13]	[6]	 Business & Management	 University of Pennsylvania
299	Inquiry Science Learning: Perspectives and Practices 1 - Science Leadership	en	scileadership	[14, 26]	[13]	 Education + Teacher Professional Development	 Rice University
300	History of the Slave South	en	slavesouth	[6, 20]	[6]	 Humanities  + Social Sciences	 University of Pennsylvania
301	Using The Next Generation Science Standards for Students’ Deeper Understanding 	en	sciframework	[14, 26]	[13]	 Education + Teacher Professional Development	 Rice University
302	Computational Methods for Data Analysis	en	compmethods	[16]	[15]	 Statistics and Data Analysis	 University of Washington
303	Introduction to Computational Arts: Visual Arts	en	compartsvisual	[22]	[117]	 Arts	 The State University of New York
304	Canine Theriogenology for Dog Enthusiasts	en	theriogenology	[3, 8, 10]	[50]	 Medicine + Health & Society + Biology & Life Sciences	 University of Minnesota
305	Hardware Security	en	hardwaresec	[11, 15]	[32]	 Computer Science: Systems & Security + Engineering	 University of Maryland, College Park
306	中国古代文化	zh-cn	pkuacc	[6]	[163]	 Humanities 	 Peking University
307	Epigenetic Control of Gene Expression	en	epigenetics	[3, 10]	[33]	 Medicine + Biology & Life Sciences	 The University of Melbourne
308	Cloud Computing Concepts: Part 2	en	cloudcomputing2	[1, 4, 12, 15]	[17]	 Computer Science: Theory + Information, Tech & Design + Computer Science: Software Engineering + Engineering	 University of Illinois at Urbana-Champaign
309	Preparing for the AP* Calculus AB and BC Exams (Part 2 - Integral Calculus)	en	apcalcpart2	[5]	[119]	 Mathematics	 University of Houston System
310	Introduction to Electronics	en	introtoelectronics	[15]	[9]	 Engineering	 Georgia Institute of Technology
311	Computer Science 101	en	cs101	[12]	[1]	 Computer Science: Software Engineering	 Stanford University
312	Heterogeneous Parallel Programming	en	hetero	[11, 12]	[17]	 Computer Science: Systems & Security + Computer Science: Software Engineering	 University of Illinois at Urbana-Champaign
313	Introduction à la programmation orientée objet (en C++)	fr	intropoocpp	[12]	[16]	 Computer Science: Software Engineering	 École Polytechnique Fédérale de Lausanne
314	Health Leadership	en	healthleadership	[8, 13, 20]	[155]	 Health & Society + Business & Management + Social Sciences	 UNSW Australia (The University of New South Wales)
315	Fantasy and Science Fiction: The Human Mind, Our Modern World	en	fantasysf	[6]	[3]	 Humanities 	 University of Michigan
316	Growing Old Around the Globe	en	oldglobe	[3, 8]	[6]	 Medicine + Health & Society	 University of Pennsylvania
317	运营管理概论（中文版）	zh-cn	whartonoperationszh	[13]	[6]	 Business & Management	 University of Pennsylvania
318	Algorithms: Design and Analysis, Part 2	en	algo2	[1]	[1]	 Computer Science: Theory	 Stanford University
319	Global Sustainable Energy: Past, Present and Future	en	globalenergy	[25]	[31]	 Energy & Earth Sciences	 University of Florida
320	Computer Networks	en	comnetworks	[4, 11, 15]	[15]	 Information, Tech & Design + Computer Science: Systems & Security + Engineering	 University of Washington
321	The Camera Never Lies	en	lyingcamera	[6, 18]	[26]	 Humanities  + Music, Film, and Audio	 University of London
322	機器學習基石 (Machine Learning Foundations)	zh-tw	ntumlone	[17]	[75]	 Computer Science: Artificial Intelligence	 National Taiwan University
323	L'Art des Structures 2 : treillis, poutres, dalles et cadres	fr	structures2	[15]	[16]	 Engineering	 École Polytechnique Fédérale de Lausanne
324	Algorithmic Thinking (Part 2)	en	algorithmicthink2	[1, 12]	[13]	 Computer Science: Theory + Computer Science: Software Engineering	 Rice University
325	The Bilingual Brain	en	bibrain	[10, 20]	[119]	 Biology & Life Sciences + Social Sciences	 University of Houston System
326	Science from Superheroes to Global Warming	en	scientificthinking	[25]	[30]	 Energy & Earth Sciences	 University of California, Irvine
327	Электричество и магнетизм. Часть 2 (Electricity and Magnetism. Part 2)	ru	electricity2	[23]	[176]	 Physics	 Moscow Institute of Physics and Technology
328	Einführung in Computer Vision	de	compvision	[17]	[78]	 Computer Science: Artificial Intelligence	 Technische Universität München (TUM)
329	An Introduction to Functional Analysis	en	functionalanalysis	[5]	[128]	 Mathematics	 CentraleSupélec
330	Wind, Waves and Tides: Alternative Energy Systems	en	windwavetide	[15, 25]	[11]	 Engineering + Energy & Earth Sciences	 University of Toronto
331	法与社会   Law and Society	zh-cn	sjtula014	[21]	[150]	 Law	 Shanghai Jiao Tong University
332	粒子世界探秘 Exploring Particle World	zh-cn	sjtujxdepw	[9, 23]	[150]	 Physical & Earth Sciences + Physics	 Shanghai Jiao Tong University
333	Supply Chain Management: A Learning Perspective 	en	supplychain	[4, 13, 20]	[178]	 Information, Tech & Design + Business & Management + Social Sciences	 Korea Advanced Institute of Science and Technology
334	Advertising and Society	en	adsoc	[6, 13, 18, 20, 22]	[7]	 Humanities  + Business & Management + Music, Film, and Audio + Social Sciences + Arts	 Duke University
335	Экономика труда (Labor economics)	ru	laborec	[2]	[160]	 Economics & Finance	 Higher School of Economics
336	21st Century American Foreign Policy	en	afp21stcentury	[20]	[7]	 Social Sciences	 Duke University
337	Understanding the Brain: The Neurobiology of Everyday Life	en	neurobio	[3, 8, 10]	[102]	 Medicine + Health & Society + Biology & Life Sciences	 The University of Chicago
338	Моделирование биологических молекул на GPU (Biomolecular modeling on GPU)	ru	biomodeling	[10, 23, 24]	[176]	 Biology & Life Sciences + Physics + Chemistry	 Moscow Institute of Physics and Technology
339	Circadian clocks: how rhythms structure life	en	circaclock	[3, 8, 10]	[64]	 Medicine + Health & Society + Biology & Life Sciences	 Ludwig-Maximilians-Universität München (LMU)
340	论文写作与检索（Academic Writing and Research）	zh-cn	legalresearch	[6, 14, 20, 21]	[163]	 Humanities  + Education + Social Sciences + Law	 Peking University
341	普通物理學 - 電磁學、光學及近代物理	zh-tw	genphysem	[9]	[75]	 Physical & Earth Sciences	 National Taiwan University
342	 K-12 Blended & Online Learning	en	k12blendedlearning	[14, 26]	[123]	 Education + Teacher Professional Development	 University System of Georgia
343	Human Evolution: Past and Future	en	humanevolution	[10, 20]	[65]	 Biology & Life Sciences + Social Sciences	 University of Wisconsin–Madison
344	Public Economics	en	publiceconom	[2]	[160]	 Economics & Finance	 Higher School of Economics
345	Global Health: An Interdisciplinary Overview	en	globalhealthoverview	[3, 8]	[49]	 Medicine + Health & Society	 University of Geneva
346	紅樓夢二──母神崇拜(The Red Chamber Dream 2)	zh-tw	rcd2	[6]	[75]	 Humanities 	 National Taiwan University
347	Теория игр (Game Theory)	ru	gt	[2, 5]	[160]	 Economics & Finance + Mathematics	 Higher School of Economics
348	Vaccines	en	vaccines	[3, 8]	[6]	 Medicine + Health & Society	 University of Pennsylvania
349	Introduction to Computational Finance and Financial Econometrics	en	compfinance	[2]	[15]	 Economics & Finance	 University of Washington
350	Introduction to Classical Music	en	introclassicalmusic	[6, 18, 22]	[109]	 Humanities  + Music, Film, and Audio + Arts	 Yale University
351	Accountable Talk®: Conversation that Works	en	accountabletalk	[14, 26]	[36]	 Education + Teacher Professional Development	 University of Pittsburgh
352	Rural Health Nursing	en	ruralnursing	[3, 8]	[120]	 Medicine + Health & Society	 University of New Mexico
353	Analytic Combinatorics	en	ac	[1, 5]	[4]	 Computer Science: Theory + Mathematics	 Princeton University
354	面向对象技术高级课程（The Advanced Object-Oriented Technology）	zh-cn	aoo	[12]	[163]	 Computer Science: Software Engineering	 Peking University
355	Understanding 9/11: Why Did al Qai’da Attack America?	en	911aftermath	[20, 26]	[7]	 Social Sciences + Teacher Professional Development	 Duke University
356	Practical tips to improve Asian American participation in cancer clinical trials	en	clinicaltrials	[3]	[1]	 Medicine	 Stanford University
357	程序设计与算法（大学先修课）	zh-cn	program	[1]	[163]	 Computer Science: Theory	 Peking University
358	Analyzing Global Trends for Business and Society	en	globaltrends	[2, 13, 20]	[6]	 Economics & Finance + Business & Management + Social Sciences	 University of Pennsylvania
359	Graphene and 2-dimensional Materials	en	graphene	[15, 23, 24]	[147]	 Engineering + Physics + Chemistry	 University of Manchester
360	Comparing Genes, Proteins, and Genomes (Bioinformatics III)	en	comparinggenomes	[1, 5, 10, 12]	[53]	 Computer Science: Theory + Mathematics + Biology & Life Sciences + Computer Science: Software Engineering	 University of California, San Diego
361	Modern & Contemporary American Poetry	en	modernpoetry	[6, 22]	[6]	 Humanities  + Arts	 University of Pennsylvania
362	Experimental Genome Science	en	genomescience	[10]	[6]	 Biology & Life Sciences	 University of Pennsylvania
363	Making Better Group Decisions: Voting, Judgement Aggregation and Fair Division	en	votingfairdiv	[2, 5, 6, 17]	[32]	 Economics & Finance + Mathematics + Humanities  + Computer Science: Artificial Intelligence	 University of Maryland, College Park
364	Curanderismo Part 2: Traditional Healing of the Spirit/Energy	en	tradhealingspirit	[3, 6, 8, 19]	[120]	 Medicine + Humanities  + Health & Society + Food and Nutrition	 University of New Mexico
365	Introduction to Computational Arts	en	cdt208	[1, 4, 18, 22]	[117]	 Computer Science: Theory + Information, Tech & Design + Music, Film, and Audio + Arts	 The State University of New York
366	Chemicals and Health	en	chemhealth	[8, 24]	[8]	 Health & Society + Chemistry	 Johns Hopkins University
367	Medical Neuroscience	en	medicalneuro	[3, 10, 26]	[7]	 Medicine + Biology & Life Sciences + Teacher Professional Development	 Duke University
368	Introduction to the Science of Cancer	en	cancer	[3, 8]	[28]	 Medicine + Health & Society	 The Ohio State University
369	The Fiction of Relationship	en	relationship	[6]	[22]	 Humanities 	 Brown University
370	The French Revolution	en	frenchrev	[6, 20]	[33]	 Humanities  + Social Sciences	 The University of Melbourne
371	The Art of Teaching History: A Global Conversation for Secondary Educators 	en	teachinghist	[14, 26]	[13]	 Education + Teacher Professional Development	 Rice University
372	Pluralidades em Português Brasileiro	pt-br	portestrangeiros	[14]	[208]	 Education	 Universidade Estadual de Campinas
373	Algorithms, Part II	en	algs4partII	[1, 12]	[4]	 Computer Science: Theory + Computer Science: Software Engineering	 Princeton University
374	Deafness in the 21st Century	en	deafness	[8, 14]	[147]	 Health & Society + Education	 University of Manchester
375	Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases	en	parasitology	[3, 8]	[7, 245]	 Medicine + Health & Society	 Duke University
376	Introduction to Databases	en	db	[11, 12]	[1]	 Computer Science: Systems & Security + Computer Science: Software Engineering	 Stanford University
377	Structural Equation Model and its Applications | 结构方程模型及其应用	zh-cn	sem	[14, 16, 20]	[45]	 Education + Statistics and Data Analysis + Social Sciences	 The Chinese University of Hong Kong
378	Interprofessional Healthcare Informatics 	en	newwayhealthcare	[4, 8, 20]	[50]	 Information, Tech & Design + Health & Society + Social Sciences	 University of Minnesota
379	Healthcare Innovation and Entrepreneurship	en	healthcareinnovation	[8, 13]	[7]	 Health & Society + Business & Management	 Duke University
380	Chemistry	en	chemistry1	[24]	[127]	 Chemistry	 University of Kentucky
381	Career 911: Your Future Job in Medicine and Healthcare	en	healthcarejobs	[3, 8, 13, 14]	[54]	 Medicine + Health & Society + Business & Management + Education	 Northwestern University
382	Statistical Thermodynamics: Molecules to Machines	en	stathermo	[15, 23, 24, 25]	[151]	 Engineering + Physics + Chemistry + Energy & Earth Sciences	
383	Introduction aux droits de l’homme	fr	droitshomme	[6, 21]	[49]	 Humanities  + Law	 University of Geneva
384	Cloud Computing Capstone	en	cloudcapstone	[12]	[17]	 Computer Science: Software Engineering	 University of Illinois at Urbana-Champaign
385	From Nand to Tetris / Part I	en	nand2tetris1	[11, 12, 15]	[24]	 Computer Science: Systems & Security + Computer Science: Software Engineering + Engineering	 Hebrew University of Jerusalem
386	Ancient Egypt: A history in six objects	en	ancientegypt	[6]	[147]	 Humanities 	 University of Manchester
387	MRI Fundamentals	en	mrifundamentals	[3, 8, 15]	[178]	 Medicine + Health & Society + Engineering	 Korea Advanced Institute of Science and Technology
388	Le Bien, le Juste, l'Utile. Introduction aux éthiques philosophiques	fr	ethique	[6]	[49]	 Humanities 	 University of Geneva
389	Shaping the Way We Teach English, 1: The Landscape of English Language Teaching	en	shaping1landscape	[14, 26]	[185]	 Education + Teacher Professional Development	
390	Math behind Moneyball	en	mathletics	[5, 13]	[119]	 Mathematics + Business & Management	 University of Houston System
391	Principles of Computing (Part 2)	en	principlescomputing2	[1, 12]	[13]	 Computer Science: Theory + Computer Science: Software Engineering	 Rice University
392	Engineering Life: Synbio, Bioethics & Public Policy	en	synbioethics	[8, 10, 15]	[8]	 Health & Society + Biology & Life Sciences + Engineering	 Johns Hopkins University
393	Fundamentals of Human Nutrition	en	humannutrition	[8, 10, 19]	[31]	 Health & Society + Biology & Life Sciences + Food and Nutrition	 University of Florida
394	Inquiry Science Learning: Perspectives and Practices 3 - Science Content Survey	en	scicontentsurvey	[14, 26]	[13]	 Education + Teacher Professional Development	 Rice University
395	Corporate Finance Essentials	en	corpfinance	[2, 13]	[172]	 Economics & Finance + Business & Management	 IESE Business School
396	Animal Behaviour	en	animalbehav	[10]	[33]	 Biology & Life Sciences	 The University of Melbourne
397	Scientific Humanities	en	sh	[6, 20]	[210]	 Humanities  + Social Sciences	 Sciences Po
398	Programming Mobile Services for Android Handheld Systems: Communication	en	posacommunication	[4, 11, 12]	[37]	 Information, Tech & Design + Computer Science: Systems & Security + Computer Science: Software Engineering	 Vanderbilt University
399	Logic: Language and Information 1	en	logic1	[1, 5, 6, 15, 22]	[33]	 Computer Science: Theory + Mathematics + Humanities  + Engineering + Arts	 The University of Melbourne
400	Galaxies and Cosmology	en	cosmo	[23]	[12]	 Physics	 Caltech
401	Introduction to Cataract Surgery	en	cataractsurgery	[3, 8]	[3]	 Medicine + Health & Society	 University of Michigan
402	Fundamentals of Electrical Engineering Laboratory	en	eefunlab	[15]	[13]	 Engineering	 Rice University
403	University Teaching 101	en	univteaching101	[6, 14, 20, 26]	[8]	 Humanities  + Education + Social Sciences + Teacher Professional Development	 Johns Hopkins University
404	Философия культуры (Philosophy of Culture)	ru	philculture	[6]	[160]	 Humanities 	 Higher School of Economics
405	Cybersecurity Capstone Project	en	cybersecuritycapstone	[11]	[32]	 Computer Science: Systems & Security	 University of Maryland, College Park
406	Text Retrieval and Search Engines	en	textretrieval	[4, 16, 17]	[17]	 Information, Tech & Design + Statistics and Data Analysis + Computer Science: Artificial Intelligence	 University of Illinois at Urbana-Champaign
407	Information and Communication Technology (ICT) Accessibility 	en	digitalaccessibility	[4, 6, 14]	[9]	 Information, Tech & Design + Humanities  + Education	 Georgia Institute of Technology
408	Natural Language Processing	en	nlp	[17]	[1]	 Computer Science: Artificial Intelligence	 Stanford University
409	English Common Law: Structure and Principles	en	engcomlaw	[6, 21]	[26]	 Humanities  + Law	 University of London
410	Bitcoin and Cryptocurrency Technologies	en	bitcointech	[11]	[4]	 Computer Science: Systems & Security	 Princeton University
411	Introduction to Forensic Science	en	ntufsc	[10, 24]	[121]	 Biology & Life Sciences + Chemistry	 Nanyang Technological University, Singapore
